parent	node	branch.length	label	isTip	x	y	branch	angle	Genus	Species	Route	Residency	new_label
47	1	0	Pachycoccyx_audeberti	TRUE	14	1	11.5	8	Pachycoccyx	audeberti	S	A	Pachycoccyx_audeberti
48	2	0	Ceuthmochares_aereus	TRUE	14	2	12	16	Ceuthmochares	aereus	S	A	Ceuthmochares_aereus
49	3	0	Clamator_glandarius	TRUE	14	3	12.5	24	Clamator	glandarius	APw	A	Clamator_glandarius
50	4	0	Clamator_coromandus	TRUE	14	4	13	32	Clamator	coromandus	II	I	Clamator_coromandus
51	5	0	Clamator_jacobinus	TRUE	14	5	13.5	40	Clamator	jacobinus	APe	A	Clamator_jacobinus
51	6	0	Clamator_levaillantii	TRUE	14	6	13.5	48	Clamator	levaillantii	AA	A	Clamator_levaillantii
53	7	0	Scythrops_novaehollandiae	TRUE	14	7	13	56	Scythrops	novaehollandiae	II	I	Scythrops_novaehollandiae
54	8	0	Microdynamis_parva	TRUE	14	8	13.5	64	Microdynamis	parva	S	I	Microdynamis_parva
54	9	0	Eudynamys_scolopaceus	TRUE	14	9	13.5	72	Eudynamys	scolopaceus	II	I	Eudynamys_scolopaceus
55	10	0	Eudynamys_taitensis	TRUE	14	10	8	80	Eudynamys	taitensis	II	I	Eudynamys_taitensis
58	11	0	Chrysococcyx_osculans	TRUE	14	11	12.5	88	Chrysococcyx	osculans	II	I	Chrysococcyx_osculans
60	12	0	Chrysococcyx_lucidus	TRUE	14	12	13.5	96	Chrysococcyx	lucidus	II	I	Chrysococcyx_lucidus
60	13	0	Chrysococcyx_basalis	TRUE	14	13	13.5	104	Chrysococcyx	basalis	II	I	Chrysococcyx_basalis
61	14	0	Chrysococcyx_minutillus	TRUE	14	14	13.5	112	Chrysococcyx	minutillus	II	I	Chrysococcyx_minutillus
61	15	0	Chrysococcyx_meyeri	TRUE	14	15	13.5	120	Chrysococcyx	meyeri	S	I	Chrysococcyx_meyeri
63	16	0	Chrysococcyx_maculatus	TRUE	14	16	13.5	128	Chrysococcyx	maculatus	II	I	Chrysococcyx_maculatus
63	17	0	Chrysococcyx_xanthorhynchus	TRUE	14	17	13.5	136	Chrysococcyx	xanthorhynchus	II	I	Chrysococcyx_xanthorhynchus
65	18	0	Chrysococcyx_flavigularis	TRUE	14	18	13.5	144	Chrysococcyx	flavigularis	S	A	Chrysococcyx_flavigularis
65	19	0	Chrysococcyx_cupreus	TRUE	14	19	13.5	152	Chrysococcyx	cupreus	AA	A	Chrysococcyx_cupreus
66	20	0	Chrysococcyx_caprius	TRUE	14	20	13.5	160	Chrysococcyx	caprius	AA	A	Chrysococcyx_caprius
66	21	0	Chrysococcyx_klaas	TRUE	14	21	13.5	168	Chrysococcyx	klaas	AA	A	Chrysococcyx_klaas
68	22	0	Cuculus_pallidus	TRUE	14	22	12	176	Cacomantis	pallidus	II	I	Cacomantis_pallidus
70	23	0	Cacomantis_castaneiventris	TRUE	14	23	13.5	184	Cacomantis	castaneiventris	S	I	Cacomantis_castaneiventris
70	24	0	Cacomantis_flabelliformis	TRUE	14	24	13.5	192	Cacomantis	flabelliformis	S	I	Cacomantis_flabelliformis
71	25	0	Cacomantis_sonneratii	TRUE	14	25	13	200	Cacomantis	sonneratii	S	I	Cacomantis_sonneratii
