"","Genus","A","AM","I"
"1","Cacomantis","0 (0-0)","0 (0-0)","1 (1-1)"
"2","Cercococcyx","0.92 (0.91-0.94)","0 (0-0.01)","0.07 (0.06-0.08)"
"3","Chalcites","0 (0-0)","0 (0-0)","1 (1-1)"
"4","Chrysococcyx","0.03 (0.02-0.04)","0 (0-0)","0.97 (0.96-0.98)"
"5","Clamator","0.18 (0.15-0.21)","0.01 (0-0.01)","0.82 (0.78-0.85)"
"6","Coccycua","0 (0-0)","0.98 (0.97-0.99)","0.02 (0.01-0.03)"
"7","Coccyzus","0 (0-0)","1 (1-1)","0 (0-0)"
"8","Cuculus","0.78 (0.75-0.8)","0 (0-0)","0.22 (0.2-0.25)"
"9","Eudynamys","0 (0-0)","0 (0-0)","1 (1-1)"
"10","Hierococcyx","0 (0-0.01)","0 (0-0)","1 (0.99-1)"
"11","Phaenicophaeus","0 (0-0)","0 (0-0)","1 (1-1)"
"12","Piaya","0 (0-0)","1 (1-1)","0 (0-0)"
"13","Surniculus","0 (0-0)","0 (0-0)","1 (1-1)"
