"","Genus","A","AM","I"
"1","Cacomantis","0 (0-0)","0 (0-0)","1 (1-1)"
"2","Carpococcyx","0 (0-0.01)","0 (0-0)","1 (0.99-1)"
"3","Centropus","0 (0-0)","0 (0-0)","1 (1-1)"
"4","Cercococcyx","0.96 (0.94-0.97)","0 (0-0)","0.04 (0.03-0.06)"
"5","Chalcites","0 (0-0)","0 (0-0)","1 (1-1)"
"6","Chrysococcyx","0.01 (0-0.01)","0 (0-0)","0.99 (0.99-1)"
"7","Clamator","0.11 (0.09-0.12)","0 (0-0.01)","0.89 (0.87-0.9)"
"8","Coccycua","0 (0-0.01)","0.99 (0.99-1)","0 (0-0.01)"
"9","Coccyzus","0 (0-0)","1 (1-1)","0 (0-0)"
"10","Coua","1 (0.99-1)","0 (0-0.01)","0 (0-0.01)"
"11","Crotophaga","0 (0-0)","1 (1-1)","0 (0-0)"
"12","Cuculus","0.84 (0.81-0.86)","0 (0-0.01)","0.16 (0.14-0.19)"
"13","Dromococcyx","0 (0-0)","1 (1-1)","0 (0-0)"
"14","Eudynamys","0 (0-0)","0 (0-0)","1 (1-1)"
"15","Geococcyx","0 (0-0)","1 (1-1)","0 (0-0)"
"16","Hierococcyx","0 (0-0.01)","0 (0-0)","1 (0.99-1)"
"17","Neomorphus","0 (0-0)","1 (1-1)","0 (0-0)"
"18","Phaenicophaeus","0 (0-0)","0 (0-0)","1 (1-1)"
"19","Piaya","0 (0-0)","1 (1-1)","0 (0-0)"
"20","Surniculus","0 (0-0)","0 (0-0)","1 (1-1)"
