"","Genus","AA","AP","II","NS","S","SS"
"1","Cacomantis","0 (0-0)","0 (0-0)","0.06 (0.04-0.07)","0 (0-0)","0.94 (0.93-0.96)","0 (0-0)"
"2","Cercococcyx","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0.01)","1 (0.99-1)","0 (0-0)"
"3","Chalcites","0.02 (0.01-0.03)","0.01 (0-0.01)","0.28 (0.23-0.32)","0 (0-0.01)","0.69 (0.64-0.74)","0.01 (0-0.01)"
"4","Chrysococcyx","0.11 (0.1-0.13)","0.01 (0-0.02)","0.31 (0.27-0.35)","0.01 (0-0.02)","0.54 (0.51-0.57)","0.01 (0.01-0.02)"
"5","Clamator","0.06 (0.05-0.07)","0.43 (0.39-0.47)","0.16 (0.15-0.17)","0.03 (0.02-0.04)","0.3 (0.27-0.33)","0.02 (0.01-0.03)"
"6","Coccycua","0.01 (0.01-0.02)","0.01 (0-0.01)","0.01 (0-0.02)","0.02 (0.01-0.03)","0.92 (0.89-0.94)","0.04 (0.03-0.04)"
"7","Coccyzus","0.01 (0-0.01)","0 (0-0.01)","0.01 (0-0.01)","0.04 (0.03-0.05)","0.38 (0.35-0.42)","0.56 (0.53-0.6)"
"8","Cuculus","0.44 (0.41-0.46)","0.01 (0.01-0.02)","0.04 (0.03-0.06)","0.01 (0-0.02)","0.49 (0.46-0.52)","0.01 (0-0.01)"
"9","Eudynamys","0 (0-0)","0 (0-0)","0.95 (0.94-0.97)","0 (0-0.01)","0.04 (0.02-0.06)","0 (0-0)"
"10","Hierococcyx","0 (0-0.01)","0 (0-0)","0.02 (0.01-0.03)","0 (0-0)","0.98 (0.97-0.99)","0 (0-0)"
"11","Phaenicophaeus","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","1 (1-1)","0 (0-0)"
"12","Piaya","0 (0-0)","0 (0-0.01)","0 (0-0.01)","0 (0-0)","0.99 (0.98-1)","0 (0-0.01)"
"13","Surniculus","0 (0-0.01)","0 (0-0.01)","0.16 (0.15-0.18)","0 (0-0.01)","0.83 (0.81-0.85)","0 (0-0.01)"
