"","Genus","AA","AP","II","NS","S","SS"
"1","Cacomantis","0 (0-0)","0 (0-0)","0.04 (0.02-0.05)","0 (0-0)","0.96 (0.95-0.98)","0 (0-0)"
"2","Carpococcyx","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","1 (1-1)","0 (0-0)"
"3","Centropus","0 (0-0.01)","0 (0-0)","0 (0-0)","0 (0-0)","1 (0.99-1)","0 (0-0)"
"4","Cercococcyx","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","1 (1-1)","0 (0-0)"
"5","Chalcites","0.01 (0-0.02)","0 (0-0)","0.2 (0.17-0.24)","0 (0-0)","0.78 (0.74-0.82)","0 (0-0)"
"6","Chrysococcyx","0.15 (0.12-0.17)","0 (0-0.01)","0.26 (0.24-0.28)","0.01 (0-0.02)","0.58 (0.55-0.61)","0 (0-0.01)"
"7","Clamator","0.03 (0.02-0.03)","0.52 (0.49-0.55)","0.16 (0.14-0.19)","0.01 (0.01-0.02)","0.26 (0.22-0.31)","0.01 (0-0.02)"
"8","Coccycua","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0.99 (0.99-1)","0 (0-0.01)"
"9","Coccyzus","0 (0-0.01)","0 (0-0)","0 (0-0.01)","0.01 (0.01-0.02)","0.45 (0.4-0.5)","0.53 (0.48-0.59)"
"10","Coua","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","1 (1-1)","0 (0-0)"
"11","Crotophaga","0.01 (0-0.02)","0.01 (0-0.02)","0.01 (0-0.02)","0.01 (0-0.02)","0.42 (0.39-0.45)","0.55 (0.51-0.59)"
"12","Cuculus","0.58 (0.54-0.61)","0.01 (0.01-0.02)","0.01 (0.01-0.02)","0 (0-0)","0.4 (0.36-0.43)","0 (0-0.01)"
"13","Dromococcyx","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0.01)","0.99 (0.98-1)","0.01 (0-0.01)"
"14","Eudynamys","0 (0-0)","0 (0-0)","0.92 (0.91-0.94)","0 (0-0)","0.08 (0.06-0.09)","0 (0-0)"
"15","Geococcyx","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","1 (1-1)","0 (0-0)"
"16","Hierococcyx","0 (0-0)","0 (0-0)","0 (0-0.01)","0 (0-0)","1 (0.99-1)","0 (0-0)"
"17","Neomorphus","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","1 (1-1)","0 (0-0)"
"18","Phaenicophaeus","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","1 (1-1)","0 (0-0)"
"19","Piaya","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","1 (1-1)","0 (0-0)"
"20","Surniculus","0 (0-0.01)","0 (0-0)","0.05 (0.04-0.06)","0 (0-0)","0.95 (0.93-0.96)","0 (0-0)"
