Genus	Node	State	Proportion	Replicate
Cacomantis	119	A	0	1
Cacomantis	119	AM	0	1
Cacomantis	119	I	1	1
Cercococcyx	116	A	0.94	1
Cercococcyx	116	AM	0.01	1
Cercococcyx	116	I	0.05	1
Chalcites	126	A	0	1
Chalcites	126	AM	0	1
Chalcites	126	I	1	1
Chrysococcyx	131	A	0.03	1
Chrysococcyx	131	AM	0	1
Chrysococcyx	131	I	0.97	1
Clamator	161	A	0.2	1
Clamator	161	AM	0.01	1
Clamator	161	I	0.79	1
Coccycua	158	A	0	1
Coccycua	158	AM	0.99	1
Coccycua	158	I	0.01	1
Coccyzus	145	A	0	1
Coccyzus	145	AM	1	1
Coccyzus	145	I	0	1
Cuculus	96	A	0.78	1
Cuculus	96	AM	0	1
Cuculus	96	I	0.22	1
Eudynamys	139	A	0	1
Eudynamys	139	AM	0	1
Eudynamys	139	I	1	1
Hierococcyx	105	A	0.01	1
Hierococcyx	105	AM	0	1
Hierococcyx	105	I	0.99	1
Phaenicophaeus	168	A	0	1
Phaenicophaeus	168	AM	0	1
Phaenicophaeus	168	I	1	1
Piaya	157	A	0	1
Piaya	157	AM	1	1
Piaya	157	I	0	1
Surniculus	113	A	0	1
Surniculus	113	AM	0	1
Surniculus	113	I	1	1
Cacomantis	119	A	0	2
Cacomantis	119	AM	0	2
Cacomantis	119	I	1	2
Cercococcyx	116	A	0.91	2
Cercococcyx	116	AM	0	2
Cercococcyx	116	I	0.09	2
Chalcites	126	A	0	2
Chalcites	126	AM	0	2
Chalcites	126	I	1	2
Chrysococcyx	131	A	0.01	2
Chrysococcyx	131	AM	0	2
Chrysococcyx	131	I	0.99	2
Clamator	161	A	0.23	2
Clamator	161	AM	0.01	2
Clamator	161	I	0.76	2
Coccycua	158	A	0	2
Coccycua	158	AM	0.97	2
Coccycua	158	I	0.03	2
Coccyzus	145	A	0	2
Coccyzus	145	AM	1	2
Coccyzus	145	I	0	2
Cuculus	96	A	0.8	2
Cuculus	96	AM	0	2
Cuculus	96	I	0.2	2
Eudynamys	139	A	0	2
Eudynamys	139	AM	0	2
Eudynamys	139	I	1	2
Hierococcyx	105	A	0	2
Hierococcyx	105	AM	0	2
Hierococcyx	105	I	1	2
Phaenicophaeus	168	A	0	2
Phaenicophaeus	168	AM	0	2
Phaenicophaeus	168	I	1	2
Piaya	157	A	0	2
Piaya	157	AM	1	2
Piaya	157	I	0	2
Surniculus	113	A	0	2
Surniculus	113	AM	0	2
Surniculus	113	I	1	2
Cacomantis	119	A	0	3
Cacomantis	119	AM	0	3
Cacomantis	119	I	1	3
Cercococcyx	116	A	0.91	3
Cercococcyx	116	AM	0.01	3
Cercococcyx	116	I	0.08	3
Chalcites	126	A	0	3
Chalcites	126	AM	0	3
Chalcites	126	I	1	3
Chrysococcyx	131	A	0.03	3
Chrysococcyx	131	AM	0	3
Chrysococcyx	131	I	0.97	3
Clamator	161	A	0.19	3
Clamator	161	AM	0.02	3
Clamator	161	I	0.79	3
Coccycua	158	A	0	3
Coccycua	158	AM	0.98	3
Coccycua	158	I	0.02	3
Coccyzus	145	A	0	3
Coccyzus	145	AM	1	3
Coccyzus	145	I	0	3
Cuculus	96	A	0.78	3
Cuculus	96	AM	0.01	3
Cuculus	96	I	0.21	3
Eudynamys	139	A	0	3
Eudynamys	139	AM	0	3
Eudynamys	139	I	1	3
Hierococcyx	105	A	0	3
Hierococcyx	105	AM	0	3
Hierococcyx	105	I	1	3
Phaenicophaeus	168	A	0	3
Phaenicophaeus	168	AM	0	3
Phaenicophaeus	168	I	1	3
Piaya	157	A	0	3
Piaya	157	AM	1	3
Piaya	157	I	0	3
Surniculus	113	A	0	3
Surniculus	113	AM	0	3
Surniculus	113	I	1	3
Cacomantis	119	A	0	4
Cacomantis	119	AM	0	4
Cacomantis	119	I	1	4
Cercococcyx	116	A	0.93	4
Cercococcyx	116	AM	0	4
Cercococcyx	116	I	0.07	4
Chalcites	126	A	0	4
Chalcites	126	AM	0	4
Chalcites	126	I	1	4
Chrysococcyx	131	A	0.05	4
Chrysococcyx	131	AM	0.01	4
Chrysococcyx	131	I	0.94	4
Clamator	161	A	0.14	4
Clamator	161	AM	0	4
Clamator	161	I	0.86	4
Coccycua	158	A	0	4
Coccycua	158	AM	0.98	4
Coccycua	158	I	0.02	4
Coccyzus	145	A	0	4
Coccyzus	145	AM	1	4
Coccyzus	145	I	0	4
Cuculus	96	A	0.77	4
Cuculus	96	AM	0	4
Cuculus	96	I	0.23	4
Eudynamys	139	A	0	4
Eudynamys	139	AM	0	4
Eudynamys	139	I	1	4
Hierococcyx	105	A	0.01	4
Hierococcyx	105	AM	0	4
Hierococcyx	105	I	0.99	4
Phaenicophaeus	168	A	0	4
Phaenicophaeus	168	AM	0	4
Phaenicophaeus	168	I	1	4
Piaya	157	A	0	4
Piaya	157	AM	1	4
Piaya	157	I	0	4
Surniculus	113	A	0	4
