Genus	Node	State	Proportion	Replicate
Cacomantis	180	A	0	1
Cacomantis	180	AM	0	1
Cacomantis	180	I	1	1
Carpococcyx	273	A	0	1
Carpococcyx	273	AM	0	1
Carpococcyx	273	I	1	1
Centropus	237	A	0.01	1
Centropus	237	AM	0	1
Centropus	237	I	0.99	1
Cercococcyx	177	A	0.98	1
Cercococcyx	177	AM	0	1
Cercococcyx	177	I	0.02	1
Chalcites	187	A	0	1
Chalcites	187	AM	0	1
Chalcites	187	I	1	1
Chrysococcyx	192	A	0.01	1
Chrysococcyx	192	AM	0	1
Chrysococcyx	192	I	0.99	1
Clamator	223	A	0.14	1
Clamator	223	AM	0.01	1
Clamator	223	I	0.85	1
Coccycua	220	A	0	1
Coccycua	220	AM	0.99	1
Coccycua	220	I	0.01	1
Coccyzus	207	A	0	1
Coccyzus	207	AM	1	1
Coccyzus	207	I	0	1
Coua	264	A	1	1
Coua	264	AM	0	1
Coua	264	I	0	1
Crotophaga	276	A	0	1
Crotophaga	276	AM	1	1
Crotophaga	276	I	0	1
Cuculus	157	A	0.82	1
Cuculus	157	AM	0	1
Cuculus	157	I	0.18	1
Dromococcyx	279	A	0	1
Dromococcyx	279	AM	1	1
Dromococcyx	279	I	0	1
Eudynamys	200	A	0	1
Eudynamys	200	AM	0	1
Eudynamys	200	I	1	1
Geococcyx	283	A	0	1
Geococcyx	283	AM	1	1
Geococcyx	283	I	0	1
Hierococcyx	166	A	0	1
Hierococcyx	166	AM	0	1
Hierococcyx	166	I	1	1
Neomorphus	280	A	0	1
Neomorphus	280	AM	1	1
Neomorphus	280	I	0	1
Phaenicophaeus	230	A	0	1
Phaenicophaeus	230	AM	0	1
Phaenicophaeus	230	I	1	1
Piaya	219	A	0	1
Piaya	219	AM	1	1
Piaya	219	I	0	1
Surniculus	174	A	0	1
Surniculus	174	AM	0	1
Surniculus	174	I	1	1
Cacomantis	180	A	0	2
Cacomantis	180	AM	0	2
Cacomantis	180	I	1	2
Carpococcyx	273	A	0.01	2
Carpococcyx	273	AM	0	2
Carpococcyx	273	I	0.99	2
Centropus	237	A	0	2
Centropus	237	AM	0	2
Centropus	237	I	1	2
Cercococcyx	177	A	0.94	2
Cercococcyx	177	AM	0	2
Cercococcyx	177	I	0.06	2
Chalcites	187	A	0	2
Chalcites	187	AM	0	2
Chalcites	187	I	1	2
Chrysococcyx	192	A	0.02	2
Chrysococcyx	192	AM	0	2
Chrysococcyx	192	I	0.98	2
Clamator	223	A	0.12	2
Clamator	223	AM	0.01	2
Clamator	223	I	0.87	2
Coccycua	220	A	0	2
Coccycua	220	AM	1	2
Coccycua	220	I	0	2
Coccyzus	207	A	0	2
Coccyzus	207	AM	1	2
Coccyzus	207	I	0	2
Coua	264	A	1	2
Coua	264	AM	0	2
Coua	264	I	0	2
Crotophaga	276	A	0	2
Crotophaga	276	AM	1	2
Crotophaga	276	I	0	2
Cuculus	157	A	0.82	2
Cuculus	157	AM	0	2
Cuculus	157	I	0.18	2
Dromococcyx	279	A	0	2
Dromococcyx	279	AM	1	2
Dromococcyx	279	I	0	2
Eudynamys	200	A	0	2
Eudynamys	200	AM	0	2
Eudynamys	200	I	1	2
Geococcyx	283	A	0	2
Geococcyx	283	AM	1	2
Geococcyx	283	I	0	2
Hierococcyx	166	A	0	2
Hierococcyx	166	AM	0	2
Hierococcyx	166	I	1	2
Neomorphus	280	A	0	2
Neomorphus	280	AM	1	2
Neomorphus	280	I	0	2
Phaenicophaeus	230	A	0	2
Phaenicophaeus	230	AM	0	2
Phaenicophaeus	230	I	1	2
Piaya	219	A	0	2
Piaya	219	AM	1	2
Piaya	219	I	0	2
Surniculus	174	A	0	2
Surniculus	174	AM	0	2
Surniculus	174	I	1	2
Cacomantis	180	A	0	3
Cacomantis	180	AM	0	3
Cacomantis	180	I	1	3
Carpococcyx	273	A	0.01	3
Carpococcyx	273	AM	0	3
Carpococcyx	273	I	0.99	3
Centropus	237	A	0	3
Centropus	237	AM	0	3
Centropus	237	I	1	3
Cercococcyx	177	A	0.97	3
Cercococcyx	177	AM	0	3
Cercococcyx	177	I	0.03	3
Chalcites	187	A	0	3
Chalcites	187	AM	0	3
Chalcites	187	I	1	3
Chrysococcyx	192	A	0.01	3
Chrysococcyx	192	AM	0	3
Chrysococcyx	192	I	0.99	3
Clamator	223	A	0.1	3
Clamator	223	AM	0	3
Clamator	223	I	0.9	3
Coccycua	220	A	0	3
Coccycua	220	AM	1	3
Coccycua	220	I	0	3
Coccyzus	207	A	0	3
Coccyzus	207	AM	1	3
Coccyzus	207	I	0	3
Coua	264	A	1	3
Coua	264	AM	0	3
Coua	264	I	0	3
Crotophaga	276	A	0	3
Crotophaga	276	AM	1	3
Crotophaga	276	I	0	3
Cuculus	157	A	0.86	3
Cuculus	157	AM	0	3
Cuculus	157	I	0.14	3
Dromococcyx	279	A	0	3
Dromococcyx	279	AM	1	3
Dromococcyx	279	I	0	3
Eudynamys	200	A	0	3
Eudynamys	200	AM	0	3
Eudynamys	200	I	1	3
Geococcyx	283	A	0	3
Geococcyx	283	AM	1	3
Geococcyx	283	I	0	3
Hierococcyx	166	A	0	3
Hierococcyx	166	AM	0	3
Hierococcyx	166	I	1	3
Neomorphus	280	A	0	3
Neomorphus	280	AM	1	3
Neomorphus	280	I	0	3
Phaenicophaeus	230	A	0	3
Phaenicophaeus	230	AM	0	3
Phaenicophaeus	230	I	1	3
Piaya	219	A	0	3
Piaya	219	AM	1	3
Piaya	219	I	0	3
Surniculus	174	A	0	3
Surniculus	174	AM	0	3
Surniculus	174	I	1	3
Cacomantis	180	A	0	4
Cacomantis	180	AM	0	4
Cacomantis	180	I	1	4
Carpococcyx	273	A	0	4
Carpococcyx	273	AM	0	4
Carpococcyx	273	I	1	4
Centropus	237	A	0	4
Centropus	237	AM	0	4
Centropus	237	I	1	4
Cercococcyx	177	A	0.97	4
Cercococcyx	177	AM	0	4
Cercococcyx	177	I	0.03	4
Chalcites	187	A	0	4
Chalcites	187	AM	0	4
Chalcites	187	I	1	4
Chrysococcyx	192	A	0	4
Chrysococcyx	192	AM	0	4
Chrysococcyx	192	I	1	4
Clamator	223	A	0.08	4
Clamator	223	AM	0	4
Clamator	223	I	0.92	4
Coccycua	220	A	0.01	4
Coccycua	220	AM	0.99	4
Coccycua	220	I	0	4
Coccyzus	207	A	0	4
Coccyzus	207	AM	1	4
