Genus	State	Proportion	Replicate
Cacomantis	AA	0	1
Cacomantis	AP	0	1
Cacomantis	II	0.09	1
Cacomantis	NS	0	1
Cacomantis	S	0.91	1
Cacomantis	SS	0	1
Cercococcyx	AA	0	1
Cercococcyx	AP	0	1
Cercococcyx	II	0	1
Cercococcyx	NS	0	1
Cercococcyx	S	1	1
Cercococcyx	SS	0	1
Chalcites	AA	0.01	1
Chalcites	AP	0	1
Chalcites	II	0.08	1
Chalcites	NS	0	1
Chalcites	S	0.89	1
Chalcites	SS	0.02	1
Chrysococcyx	AA	0.02	1
Chrysococcyx	AP	0.01	1
Chrysococcyx	II	0.13	1
Chrysococcyx	NS	0.02	1
Chrysococcyx	S	0.81	1
Chrysococcyx	SS	0.01	1
Clamator	AA	0.07	1
Clamator	AP	0.35	1
Clamator	II	0.18	1
Clamator	NS	0.04	1
Clamator	S	0.35	1
Clamator	SS	0.01	1
Coccycua	AA	0.01	1
Coccycua	AP	0.02	1
Coccycua	II	0	1
Coccycua	NS	0	1
Coccycua	S	0.94	1
Coccycua	SS	0.03	1
Coccyzus	AA	0.01	1
Coccyzus	AP	0	1
Coccyzus	II	0	1
Coccyzus	NS	0.04	1
Coccyzus	S	0.39	1
Coccyzus	SS	0.56	1
Cuculus	AA	0.41	1
Cuculus	AP	0.04	1
Cuculus	II	0.02	1
Cuculus	NS	0.01	1
Cuculus	S	0.49	1
Cuculus	SS	0.03	1
Eudynamys	AA	0	1
Eudynamys	AP	0	1
Eudynamys	II	0.95	1
Eudynamys	NS	0	1
Eudynamys	S	0.05	1
Eudynamys	SS	0	1
Hierococcyx	AA	0.01	1
Hierococcyx	AP	0	1
Hierococcyx	II	0.02	1
Hierococcyx	NS	0	1
Hierococcyx	S	0.97	1
Hierococcyx	SS	0	1
Phaenicophaeus	AA	0	1
Phaenicophaeus	AP	0	1
Phaenicophaeus	II	0	1
Phaenicophaeus	NS	0	1
Phaenicophaeus	S	1	1
Phaenicophaeus	SS	0	1
Piaya	AA	0	1
Piaya	AP	0	1
Piaya	II	0	1
Piaya	NS	0	1
Piaya	S	1	1
Piaya	SS	0	1
Surniculus	AA	0.01	1
Surniculus	AP	0.01	1
Surniculus	II	0.09	1
Surniculus	NS	0	1
Surniculus	S	0.89	1
Surniculus	SS	0	1
Cacomantis	AA	0	2
Cacomantis	AP	0	2
Cacomantis	II	0.09	2
Cacomantis	NS	0	2
Cacomantis	S	0.91	2
Cacomantis	SS	0	2
Cercococcyx	AA	0	2
Cercococcyx	AP	0	2
Cercococcyx	II	0	2
Cercococcyx	NS	0	2
Cercococcyx	S	1	2
Cercococcyx	SS	0	2
Chalcites	AA	0.01	2
Chalcites	AP	0	2
Chalcites	II	0.08	2
Chalcites	NS	0	2
Chalcites	S	0.89	2
Chalcites	SS	0.02	2
Chrysococcyx	AA	0.02	2
Chrysococcyx	AP	0.01	2
Chrysococcyx	II	0.13	2
Chrysococcyx	NS	0.02	2
Chrysococcyx	S	0.81	2
Chrysococcyx	SS	0.01	2
Clamator	AA	0.07	2
Clamator	AP	0.35	2
Clamator	II	0.18	2
Clamator	NS	0.04	2
Clamator	S	0.35	2
Clamator	SS	0.01	2
Coccycua	AA	0.01	2
Coccycua	AP	0.02	2
Coccycua	II	0	2
Coccycua	NS	0	2
Coccycua	S	0.94	2
Coccycua	SS	0.03	2
Coccyzus	AA	0.01	2
Coccyzus	AP	0	2
Coccyzus	II	0	2
Coccyzus	NS	0.04	2
Coccyzus	S	0.39	2
Coccyzus	SS	0.56	2
Cuculus	AA	0.41	2
Cuculus	AP	0.04	2
Cuculus	II	0.02	2
Cuculus	NS	0.01	2
Cuculus	S	0.49	2
Cuculus	SS	0.03	2
Eudynamys	AA	0	2
Eudynamys	AP	0	2
Eudynamys	II	0.95	2
Eudynamys	NS	0	2
Eudynamys	S	0.05	2
Eudynamys	SS	0	2
Hierococcyx	AA	0.01	2
Hierococcyx	AP	0	2
Hierococcyx	II	0.02	2
Hierococcyx	NS	0	2
Hierococcyx	S	0.97	2
Hierococcyx	SS	0	2
Phaenicophaeus	AA	0	2
Phaenicophaeus	AP	0	2
Phaenicophaeus	II	0	2
Phaenicophaeus	NS	0	2
Phaenicophaeus	S	1	2
Phaenicophaeus	SS	0	2
Piaya	AA	0	2
Piaya	AP	0	2
Piaya	II	0	2
Piaya	NS	0	2
Piaya	S	1	2
Piaya	SS	0	2
Surniculus	AA	0.01	2
Surniculus	AP	0.01	2
Surniculus	II	0.09	2
Surniculus	NS	0	2
Surniculus	S	0.89	2
Surniculus	SS	0	2
Cacomantis	AA	0	3
Cacomantis	AP	0	3
Cacomantis	II	0.09	3
Cacomantis	NS	0	3
Cacomantis	S	0.91	3
Cacomantis	SS	0	3
Cercococcyx	AA	0	3
Cercococcyx	AP	0	3
Cercococcyx	II	0	3
Cercococcyx	NS	0	3
Cercococcyx	S	1	3
Cercococcyx	SS	0	3
Chalcites	AA	0.01	3
Chalcites	AP	0	3
Chalcites	II	0.08	3
Chalcites	NS	0	3
Chalcites	S	0.89	3
Chalcites	SS	0.02	3
Chrysococcyx	AA	0.02	3
Chrysococcyx	AP	0.01	3
Chrysococcyx	II	0.13	3
Chrysococcyx	NS	0.02	3
Chrysococcyx	S	0.81	3
Chrysococcyx	SS	0.01	3
Clamator	AA	0.07	3
Clamator	AP	0.35	3
Clamator	II	0.18	3
Clamator	NS	0.04	3
Clamator	S	0.35	3
Clamator	SS	0.01	3
Coccycua	AA	0.01	3
Coccycua	AP	0.02	3
Coccycua	II	0	3
Coccycua	NS	0	3
Coccycua	S	0.94	3
Coccycua	SS	0.03	3
Coccyzus	AA	0.01	3
Coccyzus	AP	0	3
Coccyzus	II	0	3
Coccyzus	NS	0.04	3
Coccyzus	S	0.39	3
Coccyzus	SS	0.56	3
Cuculus	AA	0.41	3
Cuculus	AP	0.04	3
Cuculus	II	0.02	3
Cuculus	NS	0.01	3
Cuculus	S	0.49	3
Cuculus	SS	0.03	3
Eudynamys	AA	0	3
Eudynamys	AP	0	3
Eudynamys	II	0.95	3
Eudynamys	NS	0	3
Eudynamys	S	0.05	3
Eudynamys	SS	0	3
Hierococcyx	AA	0.01	3
Hierococcyx	AP	0	3
Hierococcyx	II	0.02	3
Hierococcyx	NS	0	3
Hierococcyx	S	0.97	3
Hierococcyx	SS	0	3
Phaenicophaeus	AA	0	3
Phaenicophaeus	AP	0	3
Phaenicophaeus	II	0	3
Phaenicophaeus	NS	0	3
Phaenicophaeus	S	1	3
Phaenicophaeus	SS	0	3
Piaya	AA	0	3
Piaya	AP	0	3
