Genus	Node	State	Proportion	Replicate
Cacomantis	180	AA	0	1
Cacomantis	180	AP	0	1
Cacomantis	180	II	0.04	1
Cacomantis	180	NS	0	1
Cacomantis	180	S	0.96	1
Cacomantis	180	SS	0	1
Carpococcyx	273	AA	0	1
Carpococcyx	273	AP	0	1
Carpococcyx	273	II	0	1
Carpococcyx	273	NS	0	1
Carpococcyx	273	S	1	1
Carpococcyx	273	SS	0	1
Centropus	237	AA	0	1
Centropus	237	AP	0	1
Centropus	237	II	0	1
Centropus	237	NS	0	1
Centropus	237	S	1	1
Centropus	237	SS	0	1
Cercococcyx	177	AA	0	1
Cercococcyx	177	AP	0	1
Cercococcyx	177	II	0	1
Cercococcyx	177	NS	0	1
Cercococcyx	177	S	1	1
Cercococcyx	177	SS	0	1
Chalcites	187	AA	0.03	1
Chalcites	187	AP	0	1
Chalcites	187	II	0.25	1
Chalcites	187	NS	0	1
Chalcites	187	S	0.72	1
Chalcites	187	SS	0	1
Chrysococcyx	192	AA	0.16	1
Chrysococcyx	192	AP	0	1
Chrysococcyx	192	II	0.28	1
Chrysococcyx	192	NS	0.01	1
Chrysococcyx	192	S	0.55	1
Chrysococcyx	192	SS	0	1
Clamator	223	AA	0.03	1
Clamator	223	AP	0.59	1
Clamator	223	II	0.21	1
Clamator	223	NS	0.01	1
Clamator	223	S	0.14	1
Clamator	223	SS	0.02	1
Coccycua	220	AA	0	1
Coccycua	220	AP	0	1
Coccycua	220	II	0	1
Coccycua	220	NS	0	1
Coccycua	220	S	0.99	1
Coccycua	220	SS	0.01	1
Coccyzus	207	AA	0.01	1
Coccyzus	207	AP	0	1
Coccyzus	207	II	0	1
Coccyzus	207	NS	0.03	1
Coccyzus	207	S	0.48	1
Coccyzus	207	SS	0.48	1
Coua	264	AA	0	1
Coua	264	AP	0	1
Coua	264	II	0	1
Coua	264	NS	0	1
Coua	264	S	1	1
Coua	264	SS	0	1
Crotophaga	276	AA	0	1
Crotophaga	276	AP	0	1
Crotophaga	276	II	0.01	1
Crotophaga	276	NS	0	1
Crotophaga	276	S	0.35	1
Crotophaga	276	SS	0.64	1
Cuculus	157	AA	0.59	1
Cuculus	157	AP	0.01	1
Cuculus	157	II	0.01	1
Cuculus	157	NS	0.01	1
Cuculus	157	S	0.38	1
Cuculus	157	SS	0	1
Dromococcyx	279	AA	0	1
Dromococcyx	279	AP	0	1
Dromococcyx	279	II	0	1
Dromococcyx	279	NS	0	1
Dromococcyx	279	S	0.99	1
Dromococcyx	279	SS	0.01	1
Eudynamys	200	AA	0	1
Eudynamys	200	AP	0	1
Eudynamys	200	II	0.94	1
Eudynamys	200	NS	0	1
Eudynamys	200	S	0.06	1
Eudynamys	200	SS	0	1
Geococcyx	283	AA	0	1
Geococcyx	283	AP	0	1
Geococcyx	283	II	0	1
Geococcyx	283	NS	0	1
Geococcyx	283	S	1	1
Geococcyx	283	SS	0	1
Hierococcyx	166	AA	0	1
Hierococcyx	166	AP	0	1
Hierococcyx	166	II	0.01	1
Hierococcyx	166	NS	0	1
Hierococcyx	166	S	0.99	1
Hierococcyx	166	SS	0	1
Neomorphus	280	AA	0	1
Neomorphus	280	AP	0	1
Neomorphus	280	II	0	1
Neomorphus	280	NS	0	1
Neomorphus	280	S	1	1
Neomorphus	280	SS	0	1
Phaenicophaeus	230	AA	0	1
Phaenicophaeus	230	AP	0	1
Phaenicophaeus	230	II	0	1
Phaenicophaeus	230	NS	0	1
Phaenicophaeus	230	S	1	1
Phaenicophaeus	230	SS	0	1
Piaya	219	AA	0	1
Piaya	219	AP	0	1
Piaya	219	II	0	1
Piaya	219	NS	0	1
Piaya	219	S	1	1
Piaya	219	SS	0	1
Surniculus	174	AA	0	1
Surniculus	174	AP	0	1
Surniculus	174	II	0.07	1
Surniculus	174	NS	0	1
Surniculus	174	S	0.93	1
Surniculus	174	SS	0	1
Cacomantis	180	AA	0	2
Cacomantis	180	AP	0	2
Cacomantis	180	II	0.03	2
Cacomantis	180	NS	0	2
