ID	TreeID	Genus	Species	Voucher	Subset	Phylogenetic Order	Breeding Strategy	Status	Sroute	Route	Nonbreeding
Cuculus_saturatus	JGG1162_Cu_saturatus_saturatus	Cuculus	saturatus	JGG1162	Sub	1	1	M	II	II	I
Cuculus_optatus	CM3840_Cu_saturatus_optatus	Cuculus	optatus	CM3840	Sub	2	1	M	II	IPe	I
Cuculus_canorus	A830_Cu_canorus	Cuculus	canorus	A830	Sub	3	1	M	AP	APwe	A
Cuculus_rochii	SMG8019_Cu_rochii	Cuculus	rochii	SMG8019	Sub	4	1	M	AA	AA	A
Cuculus_gularis	US527286_Cu_gularis	Cuculus	gularis	US527286	Sub	5	1	M	AA	AA	A
Cuculus_micropterus	WLK132_Cu_micropterus	Cuculus	micropterus	WLK132	Sub	6	1	M	II	II	I
Cuculus_crassirostris	AMNH298824_Cu_crassirostris	Cuculus	crassirostris	AMNH298824	Sub	7	1	AM	S	S	I
Cuculus_poliocephalus	T1295_Cu_poliocephalus	Cuculus	poliocephalus	T1295	Sub	8	1	M	AP	APe	A
Cuculus_solitarius	GAV463_Cu_solitarius	Cuculus	solitarius	GAV463	Sub	9	1	M	AA	AA	A
Cuculus_clamosus	GAV640_Cu_c_clamosus	Cuculus	clamosus	GAV640	Sub	10	1	M	AA	AA	A
Hierococcyx_nisicolor	WLK410_Hi_nisicolor	Hierococcyx	nisicolor	WLK410	Sub	11	1	M	II	II	I
Hierococcyx_fugax	WLK484_Hi_fugax	Hierococcyx	fugax	WLK484	Sub	12	1	S	S	S	I
Hierococcyx_pectoralis	CM2047_Hi_pectoralis	Hierococcyx	pectoralis	CM2047	Sub	13	1	S	S	S	I
Hierococcyx_hyperythrus	A947_Hi_hyperythrus	Hierococcyx	hyperythrus	A947	Sub	14	1	M	II	II	I
Hierococcyx_sparverioides	JGG1102_Hi_sparverioides	Hierococcyx	sparverioides	JGG1102	Sub	15	1	M	II	II	I
Hierococcyx_varius	A1569_Hi_varius	Hierococcyx	varius	A1569	Sub	16	1	M	II	II	I
